Community Area Number,Community Area Name,Group,Trimester Prenatal Care Began,Births 2000,Percent 2000,total births_2000,weighted_avg_percent_2000,Births 2001,Percent 2001,total births_2001,weighted_avg_percent_2001,Births 2002,Percent 2002,total births_2002,weighted_avg_percent_2002,Births 2003,Percent 2003,total births_2003,weighted_avg_percent_2003,Births 2004,Percent 2004,total births_2004,weighted_avg_percent_2004,Births 2005,Percent 2005,total births_2005,weighted_avg_percent_2005,Births 2006,Percent 2006,total births_2006,weighted_avg_percent_2006,Births 2007,Percent 2007,total births_2007,weighted_avg_percent_2007,Births 2008,Percent 2008,total births_2008,weighted_avg_percent_2008,Births 2009,Percent 2009,total births_2009,weighted_avg_percent_2009
61,NEW CITY,Moderately,1ST TRIMESTER,900,68.9,8661,7.15968133,926,74.9,9088,7.631756162,857,76.8,9004,7.309817859,894,76.6,9035,7.579457665,858,74.2,8400,7.579,892,78.7,8699,8.069939073,880,77.8,9112,7.513608428,855,79.6,8929,7.622130138,795,76.8,8684,7.030861354,734,75.9,8461,6.584399007
62,WEST ELSDON,Less,1ST TRIMESTER,224,80.9,6617,2.73864289,238,83.5,6846,2.902862986,249,82.5,6851,2.998467377,255,84.7,6795,3.178587196,288,83.5,6411,3.751052878,256,84.5,6729,3.214742161,295,81,6983,3.421881713,304,82.4,6965,3.59649677,259,80.4,6864,3.033741259,303,81.2,6925,3.552866426
63,GAGE PARK,Moderately,1ST TRIMESTER,786,75.9,8661,6.888049879,831,80.4,9088,7.351716549,845,82.4,9004,7.733007552,821,80.6,9035,7.324028777,813,80.4,8400,7.781571429,851,84.1,8699,8.227278998,833,83.8,9112,7.660820896,848,83.7,8929,7.949109643,771,82.5,8684,7.324677568,698,80.4,8461,6.632691171
64,CLEARING,Least,1ST TRIMESTER,237,83.2,6065,3.251178895,238,86.2,6057,3.387089318,248,88.9,6317,3.490137724,270,89.1,6299,3.819177647,283,88.4,6246,4.005315402,274,86.4,6197,3.820171051,272,84.5,6211,3.700531315,285,84.6,5974,4.035989287,261,82.3,5806,3.699672752,289,85.8,6210,3.99294686
65,WEST LAWN,Less,1ST TRIMESTER,421,82.4,6617,5.2426175,506,87.1,6846,6.437715454,481,85.3,6851,5.988804554,535,82.8,6795,6.519205298,491,82.7,6411,6.333754484,523,84.9,6729,6.598707089,535,82.3,6983,6.305384505,559,83.4,6965,6.693553482,525,81.6,6864,6.241258741,516,83.5,6925,6.221805054
66,CHICAGO LAWN,More,1ST TRIMESTER,988,73.6,9123,7.970711389,945,76.3,9196,7.840745977,1064,76.6,8919,9.138064805,1013,78.7,8663,9.202712686,977,78.6,8197,9.368329877,950,77.6,8185,9.006719609,1047,79.3,8503,9.764447842,959,76.4,8315,8.811497294,974,80,7848,9.928644241,885,78.4,7352,9.437431991
67,WEST ENGLEWOOD,Most,1ST TRIMESTER,610,65.3,5954,6.690124286,675,68.2,5858,7.858484124,621,68.4,5525,7.688036199,546,65.4,5236,6.819786096,571,65.9,5118,7.35226651,544,66.7,5002,7.254058377,502,65.6,5219,6.309867791,575,70.7,5307,7.660165819,542,70.7,5085,7.535771878,471,63.6,4748,6.309098568
68,ENGLEWOOD,Most,1ST TRIMESTER,563,65.6,5954,6.203023178,576,69.2,5858,6.804233527,529,68.8,5525,6.587366516,479,64.9,5236,5.937184874,470,63.9,5118,5.868112544,447,69.5,5002,6.210815674,518,70.3,5219,6.977466948,485,69.6,5307,6.360655738,436,68,5085,5.830481809,441,69.7,4748,6.473820556
69,GREATER GRAND CROSSING,Most,1ST TRIMESTER,467,72.1,5954,5.655139402,448,68,5858,5.200409696,438,70.5,5525,5.588959276,431,73.4,5236,6.041902215,410,73.3,5118,5.87202032,411,74.9,5002,6.154318273,430,77.2,5219,6.36060548,472,73,5307,6.492557,435,72.7,5085,6.219174041,436,72.3,4748,6.639174389
70,ASHBURN,Less,1ST TRIMESTER,452,85.1,6617,5.813087502,497,86.7,6846,6.294171779,483,84.7,6851,5.971405634,530,84.3,6795,6.575275938,507,86.5,6411,6.840664483,515,84.7,6729,6.482463962,525,84.7,6983,6.367965058,519,84.3,6965,6.281651113,500,82.4,6864,6.002331002,496,82.4,6925,5.901862816
